"Geschäft";"Geschäfts ID";"Datum und Uhrzeit";"Belegnummer";"Grund";"Buchungstext";"Währung";"Einnahmen";"Ausgaben";"Mehrwertsteuersatz";"Betrag MwSt";"Kassenbestand"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 13:31:08";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3941";"Wechselgeld";"";"EUR";"";"-7,30";"0,00";"0,00";"279,35"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 13:37:40";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3942";"Sonstige Einnahme";"";"EUR";"6,20";"";"0,00";"0,00";"285,55"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 13:53:45";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3943";"Sonstige Einnahme";"";"EUR";"3,70";"";"0,00";"0,00";"289,25"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 13:54:25";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3944";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"293,25"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 14:00:45";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3945";"Sonstige Einnahme";"";"EUR";"10,00";"";"0,00";"0,00";"303,25"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 14:00:45";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3946";"Wechselgeld";"";"EUR";"";"-1,60";"0,00";"0,00";"301,65"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 14:02:05";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3947";"Sonstige Einnahme";"";"EUR";"20,00";"";"0,00";"0,00";"321,65"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 14:02:05";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3948";"Wechselgeld";"";"EUR";"";"-11,20";"0,00";"0,00";"310,45"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 14:10:07";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3949";"Sonstige Einnahme";"";"EUR";"10,00";"";"0,00";"0,00";"320,45"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 14:10:07";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3950";"Wechselgeld";"";"EUR";"";"-6,00";"0,00";"0,00";"314,45"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 14:14:55";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3951";"Sonstige Einnahme";"";"EUR";"4,60";"";"0,00";"0,00";"319,05"
